serial,path,ipaddress,adaptive_question_order_1,adaptive_question_order_2,adaptive_question_order_3,adaptive_question_order_4,adaptive_question_order_5,adaptive_question_order_6,adaptive_question_order_7,adaptive_question_order_8,adaptive_question_order_9,adaptive_question_order_10,adaptive_question_order_11,adaptive_question_order_12,adaptive_question_order_13,adaptive_question_order_14,adaptive_question_order_15,adaptive_question_order_16,adaptive_question_order_17,adaptive_question_order_18,adaptive_question_order_19,adaptive_question_order_20,adaptive_question_id_1,adaptive_question_id_2,adaptive_question_id_3,adaptive_question_id_4,adaptive_question_id_5,adaptive_question_id_6,adaptive_question_id_7,adaptive_question_id_8,adaptive_question_id_9,adaptive_question_id_10,adaptive_question_id_11,adaptive_question_id_12,adaptive_question_id_13,adaptive_question_id_14,adaptive_question_id_15,adaptive_question_id_16,adaptive_question_id_17,adaptive_question_id_18,adaptive_question_id_19,adaptive_question_id_20,adaptive_question_info_1,adaptive_question_info_2,adaptive_question_info_3,adaptive_question_info_4,adaptive_question_info_5,adaptive_question_info_6,adaptive_question_info_7,adaptive_question_info_8,adaptive_question_info_9,adaptive_question_info_10,adaptive_question_info_11,adaptive_question_info_12,adaptive_question_info_13,adaptive_question_info_14,adaptive_question_info_15,adaptive_question_info_16,adaptive_question_info_17,adaptive_question_info_18,adaptive_question_info_19,adaptive_question_info_20,adaptive_response_answer_1,adaptive_response_answer_2,adaptive_response_answer_3,adaptive_response_answer_4,adaptive_response_answer_5,adaptive_response_answer_6,adaptive_response_answer_7,adaptive_response_answer_8,adaptive_response_answer_9,adaptive_response_answer_10,adaptive_response_answer_11,adaptive_response_answer_12,adaptive_response_answer_13,adaptive_response_answer_14,adaptive_response_answer_15,adaptive_response_answer_16,adaptive_response_answer_17,adaptive_response_answer_18,adaptive_response_answer_19,adaptive_response_answer_20,adaptive_response_time_1,adaptive_response_time_2,adaptive_response_time_3,adaptive_response_time_4,adaptive_response_time_5,adaptive_response_time_6,adaptive_response_time_7,adaptive_response_time_8,adaptive_response_time_9,adaptive_response_time_10,adaptive_response_time_11,adaptive_response_time_12,adaptive_response_time_13,adaptive_response_time_14,adaptive_response_time_15,adaptive_response_time_16,adaptive_response_time_17,adaptive_response_time_18,adaptive_response_time_19,adaptive_response_time_20
132337,1,128.59.199.242,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,524288,524289,655361,720897,720898,737282,745474,749570,749571,750595,750596,750852,750980,750981,750982,750998,750999,751003,751005,A:$95/0days-B:$250/90days,A:$248/0days-B:$250/90days,A:$250/0days-B:$300/7days,A:$150/3days-B:$250/90days,A:$245/0days-B:$250/30days,A:$150/0days-B:$250/90days,A:$249/0days-B:$300/7days,A:$120/0days-B:$150/90days,A:$245/0days-B:$250/90days,A:$250/0days-B:$300/14days,A:$246/0days-B:$250/90days,A:$248/0days-B:$300/7days,A:$247/0days-B:$250/90days,A:$246/0days-B:$250/30days,A:$249/0days-B:$250/90days,A:$247/0days-B:$300/7days,A:$247/0days-B:$250/30days,A:$246/0days-B:$300/7days,A:$249/0days-B:$300/14days,A:$248/0days-B:$250/30days,2,1,2,2,1,2,2,2,1,2,1,2,2,1,1,2,1,2,2,1,1425910564.32463,1425910568.4686,1425910573.04602,1425910578.80465,1425910582.59072,1425910588.17583,1425910594.39664,1425910604.7797,1425910609.72862,1425910620.30214,1425910625.4337,1425910639.02562,1425910642.50601,1425910646.30647,1425910650.08899,1425910653.81349,1425910657.55688,1425910661.28237,1425910665.37994,1425910669.45695
132338,2,128.59.199.242,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,524288,524289,524290,589826,589827,589828,589829,593925,593926,593927,594439,594695,594696,594760,594792,594808,594809,594810,594811,A:$95/0days-B:$250/90days,A:$248/0days-B:$250/90days,A:$250/0days-B:$300/7days,A:$150/0days-B:$250/90days,A:$245/0days-B:$300/7days,A:$246/0days-B:$300/7days,A:$150/0days-B:$250/60days,A:$150/0days-B:$300/7days,A:$150/0days-B:$300/14days,A:$120/0days-B:$250/90days,A:$120/0days-B:$300/7days,A:$100/0days-B:$250/90days,A:$150/0days-B:$250/30days,A:$99/0days-B:$250/90days,A:$98/0days-B:$250/90days,A:$120/0days-B:$300/14days,A:$97/0days-B:$250/90days,A:$96/0days-B:$250/90days,A:$150/3days-B:$250/90days,A:$120/0days-B:$250/30days,2,1,1,2,1,1,1,2,1,1,2,2,1,2,2,2,1,1,1,1,1425910850.44672,1425910852.20454,1425910853.6685,1425910856.33684,1425910861.6015,1425910864.71348,1425910867.67786,1425910870.33816,1425910872.70498,1425910875.47269,1425910878.7607,1425910880.998,1425910883.43211,1425910885.48503,1425910887.41297,1425910889.10443,1425910890.66531,1425910892.39212,1425910893.93425,1425910897.56167
132339,3,128.59.199.242,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,2,3,4,32772,32773,40965,40966,40967,40968,40969,41225,41226,41290,41322,41323,41331,41332,41334,A:$95/0days-B:$250/90days,A:$96/0days-B:$300/14days,A:$10/3days-B:$250/90days,A:$5/0days-B:$300/7days,A:$10/0days-B:$300/7days,A:$10/3days-B:$300/7days,A:$15/0days-B:$300/7days,A:$150/3days-B:$250/60days,A:$150/3days-B:$250/90days,A:$20/0days-B:$300/7days,A:$5/0days-B:$150/3days,A:$10/0days-B:$150/3days,A:$15/0days-B:$150/3days,A:$20/0days-B:$150/3days,A:$30/0days-B:$300/7days,A:$150/3days-B:$250/30days,A:$50/0days-B:$300/7days,A:$150/3days-B:$300/14days,A:$30/0days-B:$150/3days,A:$50/3days-B:$250/30days,1,1,1,1,2,1,2,1,1,1,1,2,1,2,2,1,2,1,2,1,1425911071.61311,1425911073.35392,1425911075.10974,1425911076.86965,1425911078.52308,1425911080.22184,1425911081.79269,1425911083.49889,1425911085.10733,1425911086.78031,1425911088.40961,1425911090.20876,1425911091.88533,1425911094.00902,1425911096.57219,1425911097.90348,1425911099.90777,1425911101.31205,1425911103.2582,1425911105.50525
132340,4,128.59.199.242,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,524288,786432,917504,983040,1015808,1015809,1015810,1015811,1015812,1016836,1017348,1017604,1017732,1017733,1017765,1017766,1017774,1017775,1017777,A:$95/0days-B:$250/90days,A:$248/0days-B:$250/90days,A:$249/0days-B:$250/30days,A:$249/0days-B:$250/90days,A:$247/0days-B:$250/90days,A:$248/0days-B:$250/30days,A:$246/0days-B:$250/90days,A:$247/0days-B:$250/30days,A:$246/0days-B:$250/30days,A:$245/0days-B:$250/90days,A:$245/0days-B:$250/30days,A:$250/0days-B:$300/7days,A:$249/0days-B:$300/7days,A:$248/0days-B:$300/7days,A:$247/0days-B:$300/7days,A:$248/0days-B:$250/60days,A:$246/0days-B:$300/7days,A:$246/0days-B:$250/60days,A:$245/0days-B:$300/7days,A:$250/0days-B:$300/14days,2,2,2,2,2,1,1,1,1,2,2,2,2,1,2,1,2,1,2,2,1425912096.18118,1425912100.33361,1425912105.49684,1425912107.02134,1425912108.49843,1425912110.27253,1425912111.70805,1425912114.90876,1425912117.09411,1425912119.18619,1425912121.28206,1425912124.8742,1425912127.25887,1425912129.42172,1425912131.5817,1425912134.007,1425912135.8734,1425912137.32205,1425912138.58798,1425912141.283
132351,1,73.9.138.157,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,524288,524289,655361,720897,753665,753666,753667,753668,753669,753670,754182,754438,754566,754567,754568,754569,754577,754581,754583,A:$95/0days-B:$250/90days,A:$248/0days-B:$250/90days,A:$250/0days-B:$300/7days,A:$150/3days-B:$250/90days,A:$245/0days-B:$250/30days,A:$246/0days-B:$250/30days,A:$245/0days-B:$250/90days,A:$246/0days-B:$250/90days,A:$247/0days-B:$250/30days,A:$248/0days-B:$250/30days,A:$150/0days-B:$250/90days,A:$249/0days-B:$300/7days,A:$250/0days-B:$300/14days,A:$120/0days-B:$150/90days,A:$249/0days-B:$300/14days,A:$248/0days-B:$300/7days,A:$247/0days-B:$300/7days,A:$100/0days-B:$150/90days,A:$246/0days-B:$300/7days,A:$99/0days-B:$150/90days,2,1,2,2,2,1,1,1,1,1,2,2,2,1,1,1,2,2,2,1,1425918142.59707,1425918146.27594,1425918149.7284,1425918153.18366,1425918156.45985,1425918159.33772,1425918163.07907,1425918166.22523,1425918169.13137,1425918171.41361,1425918174.99545,1425918178.54933,1425918182.36793,1425918185.97809,1425918189.62205,1425918192.88581,1425918196.68857,1425918200.49581,1425918203.6019,1425918207.32605
132348,2,71.224.31.232,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,524288,524289,655361,655362,688130,704514,704515,708611,708612,708613,708614,708615,708743,708744,708745,708746,708747,708748,708750,A:$95/0days-B:$250/90days,A:$248/0days-B:$250/90days,A:$250/0days-B:$300/7days,A:$150/3days-B:$250/90days,A:$250/0days-B:$300/14days,A:$120/0days-B:$250/90days,A:$249/0days-B:$300/14days,A:$150/0days-B:$250/90days,A:$248/0days-B:$300/14days,A:$249/0days-B:$300/7days,A:$248/0days-B:$300/7days,A:$245/0days-B:$300/7days,A:$150/0days-B:$250/60days,A:$246/0days-B:$300/7days,A:$247/0days-B:$300/7days,A:$95/0days-B:$150/90days,A:$96/0days-B:$150/90days,A:$100/0days-B:$250/90days,A:$99/0days-B:$250/90days,A:$98/0days-B:$250/90days,2,1,2,1,2,2,1,2,1,1,1,1,2,1,1,1,1,1,2,2,1425918337.07876,1425918341.10573,1425918346.63163,1425918352.52436,1425918357.23732,1425918362.43652,1425918367.42166,1425918371.4329,1425918376.07709,1425918379.84009,1425918384.36798,1425918388.84133,1425918393.73353,1425918397.19037,1425918400.16173,1425918403.78505,1425918407.91047,1425918411.69113,1425918415.09604,1425918419.26819
132352,2,209.6.205.173,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,524288,524289,655361,720897,720898,737282,737283,737284,739332,740356,740357,740613,740741,740805,740837,740853,740861,740865,740867,A:$95/0days-B:$250/90days,A:$248/0days-B:$250/90days,A:$250/0days-B:$300/7days,A:$150/3days-B:$250/90days,A:$245/0days-B:$250/30days,A:$150/0days-B:$250/90days,A:$249/0days-B:$300/7days,A:$120/0days-B:$150/90days,A:$246/0days-B:$300/7days,A:$248/0days-B:$300/7days,A:$100/0days-B:$150/90days,A:$247/0days-B:$300/7days,A:$250/0days-B:$300/14days,A:$249/0days-B:$300/14days,A:$99/0days-B:$150/90days,A:$98/0days-B:$150/90days,A:$248/0days-B:$300/14days,A:$97/0days-B:$150/90days,A:$96/0days-B:$150/90days,A:$245/0days-B:$250/90days,2,1,2,2,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,1,1425918692.89055,1425918698.2747,1425918702.6293,1425918711.51074,1425918716.54694,1425918719.97235,1425918723.30911,1425918729.33636,1425918734.64874,1425918740.39181,1425918745.25198,1425918750.6784,1425918755.12324,1425918758.58604,1425918763.41161,1425918768.54092,1425918773.15786,1425918777.78378,1425918781.02851,1425918785.32112
132354,4,68.121.255.154,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,524288,524289,655361,720897,720898,737282,737283,737284,737285,738309,738821,738822,738950,738951,738952,738953,738954,738958,738959,A:$95/0days-B:$250/90days,A:$248/0days-B:$250/90days,A:$250/0days-B:$300/7days,A:$150/3days-B:$250/90days,A:$245/0days-B:$250/30days,A:$150/0days-B:$250/90days,A:$249/0days-B:$300/7days,A:$120/0days-B:$150/90days,A:$246/0days-B:$300/7days,A:$245/0days-B:$300/7days,A:$100/0days-B:$150/90days,A:$247/0days-B:$300/7days,A:$99/0days-B:$150/90days,A:$245/0days-B:$250/90days,A:$248/0days-B:$300/7days,A:$246/0days-B:$250/90days,A:$245/0days-B:$300/14days,A:$98/0days-B:$150/90days,A:$246/0days-B:$300/14days,A:$97/0days-B:$150/90days,2,1,2,2,1,2,1,1,1,2,2,1,2,1,1,1,1,2,1,2,1425918686.19783,1425918689.33375,1425918692.42324,1425918696.56442,1425918699.63881,1425918702.93188,1425918706.68494,1425918710.0544,1425918712.95095,1425918717.04818,1425918720.67186,1425918723.73617,1425918726.40574,1425918729.52402,1425918732.58479,1425918735.73687,1425918739.78484,1425918743.02338,1425918745.70514,1425918748.50042
132350,4,76.188.74.77,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,524288,524289,655361,655362,655363,671747,671748,675844,675845,676869,676870,677126,677127,677191,677223,677224,677232,677236,677238,A:$95/0days-B:$250/90days,A:$248/0days-B:$250/90days,A:$250/0days-B:$300/7days,A:$150/3days-B:$250/90days,A:$250/0days-B:$300/14days,A:$120/0days-B:$250/90days,A:$249/0days-B:$300/14days,A:$249/0days-B:$300/7days,A:$150/0days-B:$250/90days,A:$248/0days-B:$300/7days,A:$100/0days-B:$250/90days,A:$99/0days-B:$250/90days,A:$248/0days-B:$300/14days,A:$98/0days-B:$250/90days,A:$247/0days-B:$300/7days,A:$150/3days-B:$250/60days,A:$97/0days-B:$250/90days,A:$247/0days-B:$300/14days,A:$246/0days-B:$300/14days,A:$96/0days-B:$250/90days,2,1,2,1,1,2,1,2,1,2,1,2,1,2,2,1,2,2,2,2,1425918757.3384,1425918763.92331,1425918769.51785,1425918775.55553,1425918783.32192,1425918788.13734,1425918792.1111,1425918799.27931,1425918803.852,1425918808.08862,1425918815.91338,1425918819.33493,1425918825.3095,1425918833.13244,1425918837.17831,1425918843.0181,1425918851.85672,1425918857.17913,1425918862.27389,1425918866.73302
132353,3,169.234.238.133,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,524288,524289,655361,655362,688130,704514,704515,708611,710659,711683,712195,712451,712579,712580,712581,712582,712590,712594,712596,A:$95/0days-B:$250/90days,A:$248/0days-B:$250/90days,A:$250/0days-B:$300/7days,A:$150/3days-B:$250/90days,A:$250/0days-B:$300/14days,A:$120/0days-B:$250/90days,A:$249/0days-B:$300/14days,A:$150/0days-B:$250/90days,A:$248/0days-B:$300/14days,A:$247/0days-B:$300/14days,A:$246/0days-B:$300/14days,A:$245/0days-B:$300/14days,A:$150/0days-B:$250/60days,A:$249/0days-B:$300/7days,A:$100/14days-B:$150/90days,A:$248/0days-B:$300/7days,A:$247/0days-B:$300/7days,A:$95/0days-B:$150/90days,A:$96/0days-B:$150/90days,A:$99/0days-B:$150/90days,2,1,2,1,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,1425918744.62966,1425918748.01061,1425918751.20643,1425918756.82842,1425918760.5171,1425918765.21079,1425918769.18613,1425918776.20175,1425918778.85088,1425918781.91561,1425918785.15157,1425918789.59266,1425918794.22674,1425918799.63862,1425918805.35125,1425918810.32057,1425918816.48887,1425918819.83939,1425918823.92212,1425918826.87399
