"","V1"
"1",-1165.31037663796
"2",-987.959837933603
"3",-945.36337752236
"4",-871.919991574124
"5",-877.854832090252
"6",-879.718308192588
"7",-871.708094714013
"8",-855.391428206227
"9",-850.929339808868
"10",-810.28742598746
"11",-815.143985902593
"12",-806.23556009184
"13",-829.920495552679
"14",-839.111879142783
"15",-818.725239315015
"16",-829.798344188075
"17",-845.362258452918
"18",-836.120713306865
"19",-836.053851036316
"20",-848.077119235344
"21",-833.75040997747
"22",-820.161441453841
"23",-792.286706631346
"24",-814.292034147421
"25",-799.730145172535
"26",-785.014950897415
"27",-802.358195355857
"28",-795.863150386135
"29",-789.892350489925
"30",-788.81129633326
"31",-781.135468522468
"32",-795.209631889893
"33",-798.867233984348
"34",-783.482066017481
"35",-793.956270294077
"36",-819.574243164114
"37",-799.158117651773
"38",-800.433423730717
"39",-817.571280557684
"40",-797.585944318599
"41",-791.807230327056
"42",-798.68008932101
"43",-800.484046643538
"44",-808.151503991811
"45",-823.361756407925
"46",-814.668198444064
"47",-793.418186453112
"48",-811.238352548534
"49",-785.705306687349
"50",-784.960232448977
"51",-799.361917101093
"52",-800.929788676507
"53",-807.932341163534
"54",-801.431486455316
"55",-808.864330103903
"56",-802.045709668037
"57",-800.967023734415
"58",-794.73119599652
"59",-795.375417553413
"60",-813.916234452847
"61",-797.420005009275
"62",-789.37559512419
"63",-831.844479281563
"64",-835.965492518192
"65",-825.272629273569
"66",-813.201551598868
"67",-826.923236341556
"68",-819.478378232757
"69",-809.770384831561
"70",-803.678619358432
"71",-789.475486389544
"72",-794.161402230468
"73",-823.118749114145
"74",-816.944469862604
"75",-807.3933246682
"76",-783.950045917235
"77",-811.187455811181
"78",-798.686359730582
"79",-814.883476892843
"80",-796.877784134907
"81",-806.703216790913
"82",-819.288685272886
"83",-808.262118220867
"84",-768.327605630315
"85",-790.487985429989
"86",-781.639067703291
"87",-783.532119357617
"88",-784.241597284545
"89",-825.946548164678
"90",-800.663944756589
"91",-813.063677560975
"92",-808.151661818553
"93",-815.022949995763
"94",-803.237496557857
"95",-809.467709098172
"96",-824.781942791212
"97",-814.301592427726
"98",-807.066362588453
"99",-806.376296691736
"100",-800.123428669682
"101",-816.411732526792
"102",-799.213711017116
"103",-848.809021429304
"104",-818.626317996556
"105",-795.410954822496
"106",-786.079880747092
"107",-795.979299107543
"108",-799.809016340235
"109",-781.46738132168
"110",-790.598203623311
"111",-792.75526193606
"112",-802.834041500099
"113",-805.884923220267
"114",-805.43250564662
"115",-816.830056231831
"116",-828.447067606242
"117",-792.112694688329
"118",-794.41022356236
"119",-804.240766073606
"120",-809.242371898206
"121",-784.550106769976
"122",-786.018516836047
"123",-800.092569062959
"124",-796.401655838962
"125",-796.787634681876
"126",-778.383675819428
"127",-769.887878596653
"128",-774.633384110837
"129",-785.717243980877
"130",-807.96184685367
"131",-811.891114782733
"132",-818.578012624634
"133",-808.185298406086
"134",-799.400689385678
"135",-777.445417098188
"136",-792.709570439941
"137",-807.549116955544
"138",-804.844219712847
"139",-783.108361631076
"140",-778.861314373017
"141",-773.067334413414
"142",-819.13696206843
"143",-777.964274500295
"144",-787.732555666159
"145",-800.156982163632
"146",-803.565089707459
"147",-804.06488973863
"148",-819.615830695801
"149",-803.678863549686
"150",-815.934426965488
"151",-801.704660601227
"152",-840.88106847757
"153",-814.07011382379
"154",-840.530835353106
"155",-830.297949532243
"156",-838.847382830673
"157",-811.508341954006
"158",-832.580485043073
"159",-822.325467541657
"160",-835.493282230949
"161",-840.671742416798
"162",-818.864565696205
"163",-830.489357360163
"164",-849.650817283752
"165",-843.430018072676
"166",-814.578536532981
"167",-799.513708532218
"168",-793.650026120027
"169",-778.006175337461
"170",-761.197896638097
"171",-790.251299433148
"172",-799.995816082898
"173",-797.209363580461
"174",-782.135097029981
"175",-781.754553797852
"176",-782.177244193226
"177",-779.765825068011
"178",-784.24303022372
"179",-792.588750100619
"180",-798.125728613339
"181",-802.623523532309
"182",-781.998324887194
"183",-807.669631889501
"184",-790.262397585305
"185",-797.648240183594
"186",-778.108854101271
"187",-815.494708390625
"188",-822.620646311525
"189",-801.320359603969
"190",-786.701292966225
"191",-794.079823920677
"192",-799.565326646627
"193",-797.254435429103
"194",-801.171907700087
"195",-796.55590130542
"196",-802.590627133565
"197",-778.349689031628
"198",-773.30266026606
"199",-790.035337781975
"200",-779.392706939447
"201",-805.726046773033
"202",-806.436877440659
"203",-814.825321793819
"204",-794.483931017681
"205",-804.118461955412
"206",-813.64706693376
"207",-810.747090856678
"208",-834.562849678476
"209",-823.061219832529
"210",-811.85954605106
"211",-811.090041471607
"212",-818.42713709293
"213",-800.37095354583
"214",-810.739838141759
"215",-802.771399787863
"216",-803.938929340469
"217",-799.373604214229
"218",-796.004332723971
"219",-802.834262955244
"220",-782.55308131916
"221",-815.75989120961
"222",-791.589483524232
"223",-795.643240670057
"224",-816.831540510917
"225",-794.901997030878
"226",-810.538482776929
"227",-812.428973006431
"228",-816.68256978861
"229",-819.668637686204
"230",-835.699215977189
"231",-824.845580882807
"232",-794.328009775505
"233",-794.023429397314
"234",-801.173221257915
"235",-820.076719689785
"236",-815.476303245554
"237",-813.48960091579
"238",-827.028583882285
"239",-810.564357633827
"240",-813.563559217376
"241",-815.628107660716
"242",-823.639115899553
"243",-868.144682728003
"244",-827.291492687996
"245",-811.261118643231
"246",-826.731285708625
"247",-827.018660311996
"248",-806.531204351014
"249",-822.089488048631
"250",-810.084659121903
"251",-802.82617164991
"252",-777.882062616521
"253",-784.341813209623
"254",-789.007137799199
"255",-765.044743068342
"256",-773.592933369231
"257",-787.420285137319
"258",-774.119898653304
"259",-783.997415851895
"260",-783.03584132304
"261",-772.860077075178
"262",-815.510684309084
"263",-801.313544128452
"264",-774.093080749996
"265",-789.824135596825
"266",-825.417656856491
"267",-795.500534888307
"268",-770.473297108339
"269",-789.248700568999
"270",-784.113284586695
"271",-791.769114714137
"272",-801.830806110248
"273",-780.110030944786
"274",-794.659129986442
"275",-785.821794666784
"276",-803.322818034422
"277",-778.155140371962
"278",-782.052940270785
"279",-795.211946715324
"280",-784.957709927245
"281",-817.211332443116
"282",-806.2374881673
"283",-803.460354623041
"284",-787.88805877367
"285",-801.58898213625
"286",-802.68491551868
"287",-778.000408983059
"288",-793.768480391496
"289",-806.342844050645
"290",-795.612681261166
"291",-792.383987266825
"292",-778.083830209266
"293",-775.983383845298
"294",-774.362679969385
"295",-787.208257230602
"296",-795.399316885859
"297",-794.034704867754
"298",-783.292925134839
"299",-784.704370100717
"300",-792.774418383713
"301",-766.059354696207
"302",-775.546829238512
"303",-785.41596368202
"304",-792.994644802491
"305",-784.226989747301
"306",-770.81130588339
"307",-794.818613632104
"308",-777.897365323412
"309",-801.05641955861
"310",-794.260431826919
"311",-789.962127351318
"312",-767.421962111379
"313",-774.697656632774
"314",-775.912553344839
"315",-782.16339542778
"316",-775.748349166925
"317",-799.663191965317
"318",-821.362108695953
"319",-813.139021806637
"320",-809.764616002192
"321",-784.319459228558
"322",-786.755824698772
"323",-786.29076266799
"324",-803.97640727101
"325",-790.185913984408
"326",-811.347240154241
"327",-799.062075356571
"328",-799.056432874387
"329",-793.746052580153
"330",-826.598151530815
"331",-845.648742879054
"332",-830.090767018033
"333",-802.9492565749
"334",-807.777137385856
"335",-805.214050033058
"336",-818.951437823942
"337",-829.399948727985
"338",-806.049763026311
"339",-819.919601791138
"340",-835.629805422814
"341",-811.72656296502
"342",-809.225583185591
"343",-804.938900659209
"344",-825.619449503332
"345",-812.685754672558
"346",-824.246217118332
"347",-771.795157210527
"348",-772.140653409193
"349",-772.851568328587
"350",-786.718749989395
"351",-793.36225889758
"352",-790.691720265747
"353",-809.82810956568
"354",-786.307671692223
"355",-766.564301484547
"356",-779.215658304652
"357",-805.049982823043
"358",-806.760492225033
"359",-829.220903564134
"360",-842.682793235211
"361",-807.136550684547
"362",-823.177764426859
"363",-823.792035367742
"364",-803.168066975158
"365",-805.454500565278
"366",-813.534784791293
"367",-799.413381728749
"368",-820.584570707806
"369",-826.199229889893
"370",-818.760444467307
"371",-807.100430530884
"372",-802.521854358019
"373",-822.44756812309
"374",-807.854108020041
"375",-810.521320527988
"376",-816.357878398014
"377",-804.373373998792
"378",-794.822242391189
"379",-792.33990085507
"380",-788.868768076846
"381",-791.653293354335
"382",-787.768909765631
"383",-799.683523810772
"384",-794.989398361032
"385",-838.306900245442
"386",-826.264470230116
"387",-804.643225414618
"388",-818.046857906965
"389",-825.110008078656
"390",-804.568138809299
"391",-795.892769219783
"392",-795.811576226601
"393",-790.282126581535
"394",-781.650866398622
"395",-813.060449699758
"396",-809.925389449886
"397",-824.806446961645
"398",-829.196406164017
"399",-811.410293414422
"400",-815.566227564996
"401",-791.157512342177
"402",-777.323820679747
"403",-762.940849217963
"404",-768.003923945237
"405",-774.575963500615
"406",-775.915539094035
"407",-785.774189316459
"408",-772.158503862761
"409",-784.62894632025
"410",-753.394908335785
"411",-776.190048553726
"412",-757.794355932586
"413",-785.399006536107
"414",-792.474382293977
"415",-793.172095286765
"416",-772.169498343879
"417",-789.415397756081
"418",-798.964301715843
"419",-777.480543553614
"420",-778.27182788909
"421",-791.957988812152
"422",-802.663134617388
"423",-801.674856430613
"424",-798.240495503506
"425",-794.933578392637
"426",-799.655974263751
"427",-790.020546513751
"428",-792.91692401087
"429",-798.809129906741
"430",-798.322169282124
"431",-813.903581927758
"432",-825.059283868718
"433",-825.767211217368
"434",-811.951254320861
"435",-808.071023796132
"436",-815.10303023535
"437",-797.07721932352
"438",-843.0979350391
"439",-833.519859709409
"440",-826.576055781434
"441",-781.905591915173
"442",-793.470951259636
"443",-799.111993225073
"444",-803.175377205707
"445",-794.988597086095
"446",-799.649158321977
"447",-797.802074651673
"448",-815.158807533121
"449",-811.258726374674
"450",-799.942887861594
"451",-793.686162057028
"452",-796.378988202994
"453",-798.388265608736
"454",-795.836908877828
"455",-813.668077925508
"456",-815.33756527794
"457",-815.953010178885
"458",-809.096127095977
"459",-825.466366646675
"460",-829.756031967692
"461",-795.959039197029
"462",-794.654397046564
"463",-801.240260351932
"464",-798.505736886797
"465",-804.255989271659
"466",-783.586672226251
"467",-785.464227923522
"468",-777.831339440235
"469",-786.656628100221
"470",-763.021525989995
"471",-766.170925476497
"472",-776.484502989287
"473",-777.963892375369
"474",-806.51531637546
"475",-804.614378256481
"476",-798.758887032236
"477",-821.730594643938
"478",-799.152609110905
"479",-786.514736699275
"480",-797.307609480148
"481",-803.551671859114
"482",-806.40062001683
"483",-805.538636796112
"484",-816.543398808608
"485",-800.412717752957
"486",-801.795101956035
"487",-792.086130837656
"488",-780.340744880964
"489",-782.226319294238
"490",-797.741047830202
"491",-823.254279757857
"492",-826.301059616263
"493",-789.433366668832
"494",-792.946066327829
"495",-816.52772752035
"496",-803.449229699941
"497",-811.041913192397
"498",-807.268422187384
"499",-788.266955259294
"500",-793.690219908589
"501",-818.526518972665
"502",-840.502575739275
"503",-830.279297807815
"504",-843.75635970868
"505",-818.774087576492
"506",-823.634883081694
"507",-798.992263821786
"508",-796.883386717421
"509",-779.377891135659
"510",-795.530800487105
"511",-795.116427782916
"512",-789.468668573664
"513",-790.469475292124
"514",-774.336988338088
"515",-802.321514433254
"516",-801.081745652583
"517",-794.439306989931
"518",-799.033666384168
"519",-773.407836702902
"520",-763.783451718876
"521",-786.8804242036
"522",-781.15995298193
"523",-787.573746143188
"524",-796.444478223791
"525",-817.070010363487
"526",-806.748616652756
"527",-785.618079769937
"528",-784.734949320367
"529",-791.383891722789
"530",-792.634211734918
"531",-801.49142364543
"532",-801.237728104606
"533",-780.580603787219
"534",-775.724684037408
"535",-780.346380343183
"536",-804.723919447134
"537",-803.59838969422
"538",-796.325790868251
"539",-800.332813177241
"540",-794.059258296599
"541",-807.360120341161
"542",-803.719376040362
"543",-810.449795274175
"544",-804.469119639129
"545",-789.375615989629
"546",-791.434509415813
"547",-805.787503698808
"548",-795.203620330704
"549",-801.384907371463
"550",-794.481067961694
"551",-822.312472969784
"552",-832.689330056499
"553",-830.182397720426
"554",-812.65446225382
"555",-809.313742822902
"556",-812.777631806636
"557",-817.814619320311
"558",-793.911312600518
"559",-820.938786564985
"560",-795.261726780534
"561",-795.951393145477
"562",-774.275009928067
"563",-773.437916604923
"564",-766.114219357378
"565",-757.929208922287
"566",-782.777155623605
"567",-798.981084475774
"568",-798.420000998902
"569",-780.987300176074
"570",-770.580309955176
"571",-768.045294242973
"572",-760.830984041761
"573",-777.460770703884
"574",-785.510867289002
"575",-797.652417772526
"576",-794.841507462221
"577",-798.858008538274
"578",-808.979415149668
"579",-799.002901616407
"580",-779.301137131872
"581",-789.009602957834
"582",-774.379230392079
"583",-797.332807448387
"584",-787.226638282673
"585",-781.722039663187
"586",-774.662089529234
"587",-754.086472294269
"588",-793.670308488217
"589",-789.869141354835
"590",-786.130003185774
"591",-796.912523887337
"592",-793.627783987081
"593",-789.806882648104
"594",-779.770984569955
"595",-792.288086760277
"596",-809.160644431083
"597",-793.610804978164
"598",-804.69258757099
"599",-783.306948314306
"600",-779.725978335278
"601",-810.81075452093
"602",-818.517003560983
"603",-797.121317535229
"604",-796.076593945893
"605",-802.104631966028
"606",-796.824289739949
"607",-801.198789665312
"608",-814.339360699595
"609",-817.353732328701
"610",-802.386780939372
"611",-810.883477111376
"612",-799.970732441665
"613",-827.542035765538
"614",-826.558872717897
"615",-802.600133453596
"616",-816.395572079979
"617",-814.995021517043
"618",-808.357228093961
"619",-821.969154541208
"620",-815.449385579369
"621",-799.436552279659
"622",-765.674826301848
"623",-796.344528101951
"624",-792.922543513423
"625",-769.640243361875
"626",-799.099184956547
"627",-820.882067693446
"628",-803.041070232457
"629",-783.885591812653
"630",-808.455388664026
"631",-802.647293193298
"632",-786.808453541236
"633",-789.62036613909
"634",-824.642277878515
"635",-803.710362291812
"636",-810.908661554689
"637",-789.653453662953
"638",-791.615147549834
"639",-792.332107391593
"640",-797.381846513581
"641",-815.607462554697
"642",-806.869618311372
"643",-794.962100119752
"644",-825.51133725138
"645",-793.959382358595
"646",-788.776749166953
"647",-798.765458456792
"648",-787.743526622069
"649",-803.036918117429
"650",-809.512272883117
"651",-816.674655110713
"652",-824.103834307268
"653",-808.062632858686
"654",-791.532675292461
"655",-782.946991167462
"656",-810.793668409723
"657",-777.127987750939
"658",-813.137284375367
"659",-818.732393186525
"660",-802.49315347332
"661",-786.282430874435
"662",-778.629273627062
"663",-800.589487760783
"664",-795.70682282351
"665",-798.900040482787
"666",-795.680338813029
"667",-813.458558877753
"668",-827.236109802775
"669",-821.894260309663
"670",-803.660521812414
"671",-774.315362429727
