"serial","experiment_number","datetime","path","experiment_name","consent_1","mturk_ID","submit","start","stamp","length","scen1_1","scen1_2","scen2_1","scen2_2","scen3_1","scen3_2","scen3_3","scen3_4","scen3_5","scen4_1","f_scen4_1","scen4_2","scen4_3","hard_scen1_1","hard_scen1_2","hard_scen2_1","hard_scen2_2","hard_scen3_1","hard_scen3_2","hard_scen3_3","hard_scen3_4","hard_scen3_5","hard_scen4_1","f_hard_scen4_1","hard_scen4_2","hard_scen4_3","easy_ST_1","easy_ST_2","hard_ST_1","hard_ST_2","hard_ST_3","hard_ST_4","hard_ST_5","hard_ST_6","hard_ST_7","hard_ST_8","hard_ST_9","hard_ST_10","macarth","f_macarth","brazil1_Q1","brazil1_Q2","brazil1_Q3","brazil1_Q4","brazil1_Q5","brazil1_Q6","brazil1_Q7","brazil2_Q8","brazil2_Q9","brazil2_Q10","brazil2_Q11","brazil2_Q12","brazil2_Q13","brazil2_Q14","Income","f_Income","Household_Size","f_Household.Size","Education","f_Education","Sex","f_Sex","Age","Month_of.Birth","f_Month.of.Birth","Marital","f_Marital","Current_Employment","f_Current.Employment","Current_Occupation","f_Current.Occupation","Children","f_Children","Race","f_Race","Political","f_Political","beta","daily_dsic_rate"
132346,552,"2015-03-09 12:11:02",4,"experiment_Mar15_20","Y","A17OINLIDZ0C14","2015-03-09 12:11:36","2015-03-09 12:11:03","2015-03-09 12:11:36","33sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","I have my needs taken care of, and I always put a little extra away every month in case of situations like this. It would impact my wants mostly. I wouldn't be able to afford some of the things that I want.","Y","I don't make that kind of money at my job, so I would have to borrow it from my parents and then pay it back. The financial burden wouldn't be that long-term, but probably at least a year. I would have to look for a second job to pay it back sooner.","Y","I couldn't do this option. I refuse to have such a huge setback financially (at least in the immediate short-term). I would have to get a loan.","Y","N","My personal safety isn't worth the risk of having a car that doesn't work properly. I would have to eat the cost and find some way to make it up later.","opt_2",2,"N","For items that are this expensive, the monthly installments are a good option and worth a little extra. Besides, I could always pay off the item early if I came up with the money.",NA,NA,"There was one time that my family needed an emergency medical service, and we were helped with honesty and integrity.","Though extremely infrequently, we needed to take a public transport when we didn't have anyone to drive us. Fortunately, this experience was okay.","The bank that I use has staff that is super friendly and always willing to help. I trust their service.","I trust that local charity organizations use my donations wisely and they have a transparent system that lets benefactors make sure of that fact.","Many auto repair services overcharge for service, but a local mechanic shop we have here is great. They give us quality, honest service.","The local fair that comes into my town once a year can always be counted upon as both fun and provide a quality intellectual experience.","I trust restaurants to provide me with quality, clean food and the chains around here uphold that standard.","We have many quality teachers in this community. Even though I never personally used the school systems here, I'm confident that there is a lot of good influence in the schools. ","Our malls and shopping plazas that we have here are generally safe and riffraff-free. I feel comfortable hanging out in this establishment. ","The country sheriff's department keeps trouble out of the neighborhoods and they seem to do a really good job of it.",8,8,3,1,4,1,2,1,4,1,5,1,4,1,4,5,12,"$125,000 to $149,999",3,"3",4,"High school diploma or the equivalent (for example: GED)",2,"Female",1995,7,"July",1,"Never married",3,"Self-employed",3,"Arts/design/entertainment/music/media",1,"None",3,"Caucasian/White",4,"None",1.04599916283275,0.00354939326987292
132348,552,"2015-03-09 12:11:59",2,"experiment_Mar15_20","Y","AGMSPB6VYCCFK","2015-03-09 12:12:19","2015-03-09 12:12:00","2015-03-09 12:12:19","19sec","Y","It would impact my ability to pay bills effectively and still be able to afford food and other necessities. I don't pay everything in my house, but we already struggle with what we have coming in.","Y","I would go about it by taking it from my savings account, and working Mturk. It would be rough, but we would be able to handle $200. There wouldn't be too many long-term or long-lasting consequences, they would mostly be short term.","N","I would ask if I could make fixed payments to the company in order to pay them back. I would probably pay some of it in cash at the time of the accidents. ","Y","N","We really can't afford to lose a car and it would be dangerous to simply forego the service. That would be a terrible idea because it might just end up costing more in the long run. ","opt_2",2,"N","I think that it would be worth paying, because monthly payments would be easier to afford rather than paying all of it out of pocket right away, which would probably do more damage than good.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I trust the bank to handle my money correctly and know what they are doing.","I trust my doctors to have the right knowledge and information to help me when I am sick.","I trust other people on the roads to do the right thing and drive safely and because of this have never been in a car accident. ","My trust in my family is justified every day when they help to keep me calm and level-headed.","I trust my friends to do the right thing and not betray me behind my back.","I had trusted my school to teach me the things that I needed to know so that when I got out into the real world I wasn't completely oblivious.","When I was in the hospital, I trusted the nurses and doctors to take care of me and provide with the right medications. ","When I go to a beauty consultant, I trust that they are giving me the right advice on what to use.","When I go to the hair dresser, I trust that they are going to give me what I want and not mess up my hair.","When I go to the gym I trust that the personal trainers there are leading me in the right direction.",4,4,3,1,3,1,2,1,4,1,2,1,2,1,4,4,6,"$50,000 to $59,999",6,"6",4,"High school diploma or the equivalent (for example: GED)",2,"Female",1993,11,"November",1,"Never married",4,"Unemployed and looking for work",10,"Food services",1,"None",9,"Other",1,"Democrat",0.826900961494989,0.00540012588468924
132350,552,"2015-03-09 12:13:29",4,"experiment_Mar15_20","Y","A1GK9ZI7T30X9Z","2015-03-09 12:14:34","2015-03-09 12:13:30","2015-03-09 12:14:34","64sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","I live under a very tight budget as it is. Some months I do not have enough for any 'extras'. It would impact my leisure, and may impact my bills such as water, electricity, rent. I would not like such a change.","Y","I would likely need to sell some items of value. It may not create long lasting hardship if I can get enough money from the items. It would be a long term sacrifice to lose the items which I saved up for. I would no longer have them, they are important to my leisure time.","Y","I would probably sell some items that I have before taking out a loan. I would use all of the money I could from my savings to make the payment to avoid the interest associated with a loan. Going in to my 401K, if needed, would also be an option.","N","N","Having had vehicle disasters in the past this would be the last resort and I would do all I could to avoid it. Having the car break down to the point where it may cost even more would be unwise, and a stressful thing over my head. It would be very easy to choose paying for a fix.","opt_1",1,"N","In this case the interest may be worth paying if it would be too difficult to gather up the money. One needs food to survive and I could probably afford $100 a month. I would prefer to pay up front in cash, and if my fridge was broken I would probably do what I could to avoid the interest.",NA,NA,"I trusted my local commuter rail service in the Chicago area to get me where I needed to go roughly on time. Nine times out of ten this was justified.","I trusted my local municipal trash service to pick up the extra items they claimed that they would pick up, such as leaves, and it was justified, they did pick them up.","I trusted my local community college to provide cheap classes and they came through.","I trusted my local library to be accessible at times when I was able to use it, not simply during banking hours, and they were.","I trusted that my local bank branch would be able to help me with a fraudulent transaction in my account, while it took two visits, my money was returned and I was pleased.","I trusted that the local historical society would do what it could to save a historic theatre which was slated for demolition and development and they saved it.","I trusted that the village would send someone out to repair a broken mail box which was hit by one of their snow plows and they not only fixed it, but added a better mail box.","I trusted that the police would be able to handle a noise complaint, someone playing drums loudly at 11pm on a week night, and they were able to make both myself and the neighbor happy.","I trusted that the city would be able to produce the summer entertainment series they claimed they would produce and after attending the Jazz Fest I felt that was justified.","I trusted that the city would do their best to keep the streets clean and the town looking good and they had street sweepers showing up 2 times a week.",4,4,1,1,2,1,1,2,3,1,1,5,2,1,3,2,4,"$30,000 to $39,999",4,"4",5,"Some college, but not currently enrolled",1,"Male",1983,4,"April",1,"Never married",1,"Employed less than 3 years for the same company",3,"Arts/design/entertainment/music/media",1,"None",3,"Caucasian/White",4,"None",0.965040468098636,0.00836296613537592
132351,552,"2015-03-09 12:16:13",1,"experiment_Mar15_20","Y","AAXYYH9MI3PJM","2015-03-09 12:16:47","2015-03-09 12:16:14","2015-03-09 12:16:47","33sec","Y","Just make very few minor adjusstments to what I do to make it work. It's not hard. Just cut a few corners on a few things. WHy do you need so muh fucking words. ","Y","Either by using what I got saved up somewhere right away or start asking family for money right away. I that doesnt work ask friends. If not go to some people I know that loan money","N","I should have that much cash on me somehow. If you don't your asking for trouble. Need to have some petty cash for making it.","Y","N","Im not going to risk the chance of my car breaking down cause I didnt fix it then. What am I stupid? ARE YOU STUPID? Why must I fucking write about this.","opt_1",1,"Y","It could be but I don't want to pay the interest if I have the cash on hand. Wouldnt make sense to pay more when you have the goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I trust my doctor to not kill me when he gives me medicine. HE should know what he is doing.","I trust the police to do the right job and not heckle me when I did nothing wrong. They should be maintaining order.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,1,2,1,1,1,3,1,4,3,4,1,3,2,1,"Less than $10,000",7,"7 or more",8,"Bachelor's degree (for example: BA, AB, BS)",1,"Male",1986,1,"January",1,"Never married",3,"Self-employed",1,"Administrative and office support",1,"None",5,"Latino/Hispanic",2,"Republican",0.930241583506888,0.00328286571177411
132352,552,"2015-03-09 12:17:45",2,"experiment_Mar15_20","Y","ASF5V3K4IFP4K","2015-03-09 12:18:43","2015-03-09 12:17:46","2015-03-09 12:18:43","57sec","Y","I make enough where I don't have to worry about this amount of salary cut. I would be able to survive. My leisure and housing would be fine.","Y","I would be able to come out with this money fairly easily. I have more than that in my bank checking account. I would not be a problem. No sacrifices would have to be made.","Y","I would charge it on my credit card. I have enough on my credit to cover it. I would not be a problem. I would just charge it on my card.","N","N","It would be an easy decision, since I would have enough to cover the expenses. It would not be a problem. I would use a credit card. I think I would pay it off the next month. It would increase my credit a little too. 
","opt_1",1,"Y","No I would not want to pay the interest because I have enough to pay it off. It would not be a problem. I would charge it. Paying in the monthly payments does not make sense.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I trusted my bank to deposit my check.","I trusted my store to give me good products.","I trusted my police officer to adhere to laws.","I trusted my mayor to follow rules.","I trusted my bus driver to pay attention to driving.","I trusted the cook at the restaurant to not poison me.","I trusted the clerk to give me the right change.","I trusted another driver to stop so I would not crash.","I trusted my neighbor to not rob me.","I trusted the biker to follow the road rules.",6,6,4,2,4,1,3,1,4,1,3,1,3,1,3,3,9,"$80,000 to $89,999",1,"1",8,"Bachelor's degree (for example: BA, AB, BS)",1,"Male",1978,7,"July",1,"Never married",2,"Employed 3 or more years for the same company",3,"Arts/design/entertainment/music/media",1,"None",3,"Caucasian/White",1,"Democrat",0.962097170817958,0.00295100522447787
132353,552,"2015-03-09 12:19:45",3,"experiment_Mar15_20","Y","A11VJ9HVZPID81","2015-03-09 12:20:04","2015-03-09 12:19:46","2015-03-09 12:20:04","18sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","I would spend more time on MTurk to make up the difference so I would spend a lot less time relaxing. I would have to go out less in order to save money. I would also cancel any travel plans as I would not be able to afford it. My current plans to move would also be put on hold.","Y","It would cause long-lasting financial hardship. I would use credit cards in order to get the money but I would be stuck paying them off for a while. I would also have to empty out my savings which I want to use to buy a car. $2000 is a lot of money so I would have to spend a couple of months trying to get that back. I would have to be more thrifty, go out less, etc.","Y","I would use my credit card and savings to pay for it. I would just take it out of the bank and use the credit card to cover the rest. It would not be particularly complicated for me to do, it would just suck but it's doable. ","N","N","I would not forego the service, that's too big of a risk to take. I would not want something to happen to the car which could ruin it or lead to more expenses. It's better to just get it over with than to hope nothing will happen. It would be easy to decide on this though I would hate to do it.","opt_1",1,"Y","The interest is not bad but I'd rather pay less and since I would have the money I would just pay for it in full. I don't like to be in debt so I would rather just take all my savings and buy the refrigerator at once.","I trust buses to be there when they say they will. I think it's justified since buses are mostly reliable, showing up at most 5 minutes late or early. ","I trust banks to keep my information secure and for the workers not to steal my money. I don't have much to steal anyway but there's no reason not to trust these people. It's their job to deal with money and most are probably decent folks who wouldn't do anything bad.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,1,3,1,1,1,5,1,2,1,4,1,4,5,3,"$20,000 to $29,999",2,"2",8,"Bachelor's degree (for example: BA, AB, BS)",2,"Female",1993,8,"August",2,"Living Together",3,"Self-employed",1,"Administrative and office support",1,"None",5,"Latino/Hispanic",1,"Democrat",0.933285381031909,0.00400363508591704
132354,552,"2015-03-09 12:19:50",4,"experiment_Mar15_20","Y","A2F79GFUWU5O96","2015-03-09 12:20:16","2015-03-09 12:19:51","2015-03-09 12:20:16","25sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","I can barely make ends meet right now, so if my finances were cut I would be in extremely poor circumstances. I wouldn't be able to pay my bills on time and would probably fall into debt and it would be a very trying time for me. I would have to take on a second job or look for a better paying job. There is no way that I would be able to live with a 15% pay cut.","N","The only way that I could come up with that much money would be for me to sell my  car. Then I don't know how I would get to work. It would be a pain in the ass to take a bus to work and it would probably take me two hours just to get to work. I wouldn't be willing to do this, so I don't know what I would do.","Y","I have no savings at all, so I don't know what in the world I would do. I would probably just have to wait a very long time trying to save up money little by little until I could fix my car. My car currently needs to be fixed and I can't come up with the money, so I know this situation very well.","Y","Y","I would probably just keep driving the car in hopes that it will run long enough for me to save some money. This is what I am currently doing. I just don't have any money left over after bills to save. I don't know what I am going to do or would do in the future.","opt_2",2,"N","I would never buy a new refrigerator for this much money. I would by an old used one off of craigslist for like fifty dollars. I do not have the money and I would borrow money for this item. It's ridiculous to think that a thousand dollar fridge is necessary. I just couldn't see myself spending that much money on a fridge.",NA,NA,"My bank is very good about watching irregular spending and will notify my immediately if they notice something suspicious.","If I needed to take the bus I would be fairly certain it would arrive around the right time that it was scheduled to arrive.","If I were to be injured or get sick I would be confident that I would be seen and treated in a timely matter.","I attended public school and received a good education for no cost at all.","There are community programs that are aimed at helping the poor and they will help people in need.","My community is relatively safe to live in and there is little crime.","I would feel comfortable sending children to a public school in my area and would trust they are taken care of.","I think most laws are made fairly and with the best interest of the citizens in mind.","There are companies that will provide me loans even though my credit is very poor.","There are churches that will provide food and clothing to those in need.",2,2,4,1,3,1,1,1,4,1,1,1,4,1,5,4,4,"$30,000 to $39,999",2,"2",5,"Some college, but not currently enrolled",2,"Female",1982,7,"July",2,"Living Together",2,"Employed 3 or more years for the same company",1,"Administrative and office support",1,"None",3,"Caucasian/White",1,"Democrat",0.804009202842838,0.00130559758832617
132355,552,"2015-03-09 12:21:29",1,"experiment_Mar15_20","Y","A2PXJTMWGUE5DC","2015-03-09 12:21:50","2015-03-09 12:21:30","2015-03-09 12:21:50","20sec","Y","Our household currently makes enough that a 5% salary cut would not effect our lifestyle. We live pretty frugally. It might mean that we put a little less away into savings each month, but that would be the only impact. ","Y","We have a large amount in savings that is available for emergency expenses. However $200 would be easily charged and paid off the next month. It wouldn't be a problem.","N","I would pay with the credit card and then pay the credit card in full the next month. It would not be a hardship to pay this amount.","N","N","In my experience delaying car service leads to larger bills. It would be best to do it now and avoid any unforeseen circumstances. It was an easy decision to make.","opt_1",1,"Y","The interest would not be worth it. If I didn't have the cash available I would use a low interest home equity loan that would allow me to write interest off on my taxes and I'd pay it off as soon as possible.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Light Rail: They provide a good service at a reasonable cost. They run the trains more often when ridership demands it and less when it doesn't.","Kaiser: They are a well run HMO that service it's members well. They are available for emergencies and for routine situations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,2,1,3,1,3,1,3,1,2,3,3,1,4,4,11,"$100,000 to $124,999",2,"2",8,"Bachelor's degree (for example: BA, AB, BS)",2,"Female",1959,3,"March",3,"Married",6,"A homemaker",12,"Homemaker",3,"2",3,"Caucasian/White",2,"Republican",1.01796433285257,0.00291398536910444
132357,552,"2015-03-09 12:21:46",3,"experiment_Mar15_20","Y","A2R7IJ6O8ZYSYX","2015-03-09 12:22:06","2015-03-09 12:21:47","2015-03-09 12:22:06","19sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","It would take a huge chunk out of my check. I am barely living check to check as is so taking any out would need me to change some things.","Y","Depending on the situation, but for the most part I have the knowledge and know-how to do odd jobs to be able to earn enough to be able to pay it. It also depends on what is ""required"" some things can be put before others.","N","well I selected no so I just would not have the cash. therefore it would be impossible for me to do anything about it.
It is giving me an error about not filling in 100 characters even tho I said no.","N","Y","It would definately be a difficult decision that I would have to make. I just cannot afford to be in debt or pay that amount for that. I will hopefully be able to figure something out before something bad happened. ","opt_2",2,"N","Yes. If I am in actual need of it then it would be completely ideal for me. I do not have $999 on hand and it is not a huge need for me to take out a bunch of money.","I have trusted a school once with my school in high school. I had trusted them to take care of some things in my senior year for college and it turned out that they actually did what they said.","One time I was having some real finance issues. I had just gotten my tax returns and still had one check that was going to be deposited. Something happened and i lost all of my first check and I trusted the guy at the bank to take care of the other check and start a new account for me.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,1,3,1,3,1,3,1,3,3,1,1,3,3,2,"$10,000 to $19,999",2,"2",5,"Some college, but not currently enrolled",1,"Male",1992,11,"November",1,"Never married",1,"Employed less than 3 years for the same company",13,"Labor/production/construction/transportation",1,"None",3,"Caucasian/White",3,"Independent",1.07609628484365,0.0124541124552656
132360,552,"2015-03-09 12:22:16",4,"experiment_Mar15_20","Y","A2AMI7BVALOCJP","2015-03-09 12:22:40","2015-03-09 12:22:18","2015-03-09 12:22:40","22sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","Because I am already quite frugal with my money. A pay cut would not affect me as much as the normal person because most of my paychecks go towards savings anyways.","Y","Because I'm so frugal with my money, I already have the necessary funds saved up to cover this expense. So I would not be worried at all.","N","I would only have to withdraw money from my bank account to do this. I already have enough in cash to cover this amount. This would not require me to liquidate my savings.","Y","Y","I would choose to do this because I like taking chances and I feel like I would only need to get my car fixed if it was absolutely necessary.","opt_2",2,"Y","The interest in this scenario doesn't seem too bad to me. An extra $200 for something you only pay $100 a month for is a real bargain.",NA,NA,"I trust that my car will work every day I need to go to work.","I trust my friend to allow me to live at his house.","I trust my mom to give me the support I need in difficult times.","I trust my laptop to work 100% of the time as it is extremely important to me.","I trust the companies I pay bills to to keep the lights on.","I trust my doctor with the medications he gives me.","I trust the teachers at school with the lessons they teach me.","I trust my pastor at church with everything he teaches me.","I trust the airplane companies when I have to fly across the country.","I trust the government to operate like it should and elect the right people.",6,6,4,4,5,1,3,1,4,1,4,1,3,1,4,3,14,"$200,000 or more",3,"3",8,"Bachelor's degree (for example: BA, AB, BS)",1,"Male",1988,8,"August",1,"Never married",1,"Employed less than 3 years for the same company",2,"Architecture/engineering",1,"None",3,"Caucasian/White",2,"Republican",1.07679652562719,0.00468112955348852
