"serial","experiment_number","datetime","path","experiment_name","s916854.q3290.consent.1","s916854.q3289.mturk_ID","s.916854.submit","s.916854.start","s.916854.stamp","s.916854.length","s597418.q3178.scen1_1","s597418.q3179.scen1_2","s.597418.submit","s.597418.start","s.597418.stamp","s.597418.length","s353562.q3184.scen2_1","s353562.q3185.scen2_2","s.353562.submit","s.353562.start","s.353562.stamp","s.353562.length","s835338.q3190.scen3_1","s835338.q3191.scen3_2","s835338.q3192.scen3_3","s835338.q3193.scen3_4","s835338.q3194.scen3_5","s.835338.submit","s.835338.start","s.835338.stamp","s.835338.length","s678612.q3199.scen4_1","f.s678612.q3199.scen4_1","s678612.q3200.scen4_2","s678612.q3201.scen4_3","s.678612.submit","s.678612.start","s.678612.stamp","s.678612.length","s873281.q3260.hard_scen1_1","s873281.q3261.hard_scen1_2","s.873281.submit","s.873281.start","s.873281.stamp","s.873281.length","s576721.q3219.hard_scen2_1","s576721.q3220.hard_scen2_2","s.576721.submit","s.576721.start","s.576721.stamp","s.576721.length","s196727.q3230.hard_scen3_1","s196727.q3231.hard_scen3_2","s196727.q3232.hard_scen3_3","s196727.q3233.hard_scen3_4","s196727.q3234.hard_scen3_5","s.196727.submit","s.196727.start","s.196727.stamp","s.196727.length","s292542.q3239.hard_scen4_1","f.s292542.q3239.hard_scen4_1","s292542.q3240.hard_scen4_2","s292542.q3241.hard_scen4_3","s.292542.submit","s.292542.start","s.292542.stamp","s.292542.length","s799779.q3207.easy_ST_1","s799779.q3208.easy_ST_2","s.799779.submit","s.799779.start","s.799779.stamp","s.799779.length","s233454.q3246.hard_ST_1","s233454.q3247.hard_ST_2","s233454.q3248.hard_ST_3","s233454.q3249.hard_ST_4","s233454.q3250.hard_ST_5","s233454.q3251.hard_ST_6","s233454.q3252.hard_ST_7","s233454.q3253.hard_ST_8","s233454.q3254.hard_ST_9","s233454.q3255.hard_ST_10","s.233454.submit","s.233454.start","s.233454.stamp","s.233454.length","s177542.q3214.macarth","f.s177542.q3214.macarth","s.177542.submit","s.177542.start","s.177542.stamp","s.177542.length","s488174.q3158.brazil1.Q1","s488174.q3158.brazil1.Q2","s488174.q3158.brazil1.Q3","s488174.q3158.brazil1.Q4","s488174.q3158.brazil1.Q5","s488174.q3158.brazil1.Q6","s488174.q3158.brazil1.Q7","s488174.q3159.brazil2.Q8","s488174.q3159.brazil2.Q9","s488174.q3159.brazil2.Q10","s488174.q3159.brazil2.Q11","s488174.q3159.brazil2.Q12","s488174.q3159.brazil2.Q13","s488174.q3159.brazil2.Q14","s.488174.submit","s.488174.start","s.488174.stamp","s.488174.length","s134398.q3266.Income","f.s134398.q3266.Income","s134398.q3267.Household Size","f.s134398.q3267.Household Size","s134398.q3268.Education","f.s134398.q3268.Education","s.134398.submit","s.134398.start","s.134398.stamp","s.134398.length","s458795.q3143.Sex","f.s458795.q3143.Sex","s458795.q3144.Age","s458795.q3145.Month of Birth","f.s458795.q3145.Month of Birth","s458795.q3146.Marital","f.s458795.q3146.Marital","s458795.q3147.Income","f.s458795.q3147.Income","s458795.q3148.Education","f.s458795.q3148.Education","s458795.q3149.Current Employment","f.s458795.q3149.Current Employment","s458795.q3150.Current Occupation","f.s458795.q3150.Current Occupation","s458795.q3151.Children","f.s458795.q3151.Children","s458795.q3152.Race","f.s458795.q3152.Race","s458795.q3153.Political","f.s458795.q3153.Political","s.458795.submit","s.458795.start","s.458795.stamp","s.458795.length"
132337,552,2015-03-09 10:14:41,"1","experiment_Mar15_20","Y","gdfsafdafda","2015-03-09 10:15:00","2015-03-09 10:14:43","2015-03-09 10:15:00","17sec","N","faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz","2015-03-09 10:15:13","2015-03-09 10:15:00","2015-03-09 10:15:13","13sec","N","faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz","2015-03-09 10:15:19","2015-03-09 10:15:13","2015-03-09 10:15:19","6sec","Y","faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz","N","Y","faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz","2015-03-09 10:15:28","2015-03-09 10:15:19","2015-03-09 10:15:28","9sec","opt_1","1.","N","faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz","2015-03-09 10:15:35","2015-03-09 10:15:28","2015-03-09 10:15:35","7sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz","faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz","2015-03-09 10:15:40","2015-03-09 10:15:35","2015-03-09 10:15:40","5sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"10","2015-03-09 10:18:04","2015-03-09 10:17:58","2015-03-09 10:18:04","6sec","1","2","4","3","2","3","3","2","3","2","4","4","4","3","2015-03-09 10:18:17","2015-03-09 10:18:04","2015-03-09 10:18:17","13sec",4,"$30,000 to $39,999",3,"3",3,"9th, 10th or 11th grade","2015-03-09 10:18:24","2015-03-09 10:18:17","2015-03-09 10:18:24","7sec",1,"Male","1988",3,"March",2,"Living Together",3,"$20,000 to $29,999",2,"Nursery school to 8th grade",8,"Retired",9,"Farming/fishing/forestry",2,"1",8,"Pacific Islander",1,"Democrat","2015-03-09 10:18:53","2015-03-09 10:18:25","2015-03-09 10:18:53","28sec"
132338,552,2015-03-09 10:19:26,"2","experiment_Mar15_20","Y","fdfdafdafda","2015-03-09 10:19:35","2015-03-09 10:19:27","2015-03-09 10:19:35","8sec","N","faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz","2015-03-09 10:19:41","2015-03-09 10:19:35","2015-03-09 10:19:41","6sec","Y","faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz","2015-03-09 10:19:47","2015-03-09 10:19:41","2015-03-09 10:19:47","6sec","N","faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz","Y","N","faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz","2015-03-09 10:19:59","2015-03-09 10:19:47","2015-03-09 10:19:59","12sec","opt_2","2.","Y","faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz","2015-03-09 10:20:08","2015-03-09 10:20:00","2015-03-09 10:20:08","8sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz","faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz","faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz","faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz","faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz","faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz","faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz","faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz","faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz","faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz
faddfsafdsafafdasfdasfdaz","2015-03-09 10:20:32","2015-03-09 10:20:08","2015-03-09 10:20:32","24sec",8,"8","2015-03-09 10:21:46","2015-03-09 10:21:41","2015-03-09 10:21:46","5sec","2","1","3","3","3","2","3","1","2","3","4","4","2","3","2015-03-09 10:22:01","2015-03-09 10:21:47","2015-03-09 10:22:01","14sec",5,"$40,000 to $49,999",2,"2",6,"Some college, and currently enrolled","2015-03-09 10:22:09","2015-03-09 10:22:02","2015-03-09 10:22:09","7sec",1,"Male","1988",5,"May",6,"Widowed",12,"$125,000 to $149,999",5,"Some college, but not currently enrolled",4,"Unemployed and looking for work",12,"Homemaker",2,"1",3,"Caucasian/White",2,"Republican","2015-03-09 10:22:30","2015-03-09 10:22:09","2015-03-09 10:22:30","21sec"
132339,552,2015-03-09 10:22:54,"3","experiment_Mar15_20","Y","fdafdafdafad","2015-03-09 10:23:03","2015-03-09 10:22:56","2015-03-09 10:23:03","7sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","fdsafdsafdafda","2015-03-09 10:23:14","2015-03-09 10:23:03","2015-03-09 10:23:14","11sec","N","fdfdafdafdafa","2015-03-09 10:23:20","2015-03-09 10:23:14","2015-03-09 10:23:20","6sec","N","fdsa","N","N","fds","2015-03-09 10:23:54","2015-03-09 10:23:21","2015-03-09 10:23:54","33sec","opt_1","1.","Y","fdsfdsaf","2015-03-09 10:24:02","2015-03-09 10:23:55","2015-03-09 10:24:02","7sec","fdas","fdasfd","2015-03-09 10:24:06","2015-03-09 10:24:02","2015-03-09 10:24:06","4sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"10","2015-03-09 10:25:13","2015-03-09 10:25:08","2015-03-09 10:25:13","5sec","2","1","3","3","3","3","3","1","2","2","3","2","3","3","2015-03-09 10:25:27","2015-03-09 10:25:13","2015-03-09 10:25:27","14sec",2,"$10,000 to $19,999",2,"2",4,"High school diploma or the equivalent (for example: GED)","2015-03-09 10:25:34","2015-03-09 10:25:27","2015-03-09 10:25:34","7sec",1,"Male","1988",3,"March",2,"Living Together",3,"$20,000 to $29,999",4,"High school diploma or the equivalent (for example: GED)",3,"Self-employed",5,"Community and social services",4,"3",3,"Caucasian/White",2,"Republican","2015-03-09 10:26:04","2015-03-09 10:25:34","2015-03-09 10:26:04","30sec"
132340,552,2015-03-09 10:39:38,"4","experiment_Mar15_20","Y","tasfafads","2015-03-09 10:39:46","2015-03-09 10:39:39","2015-03-09 10:39:46","7sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","fdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafda","2015-03-09 10:40:38","2015-03-09 10:39:46","2015-03-09 10:40:38","52sec","N","fdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafda","2015-03-09 10:40:47","2015-03-09 10:40:39","2015-03-09 10:40:47","8sec","N","fdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafda","N","N","fdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafda","2015-03-09 10:40:57","2015-03-09 10:40:47","2015-03-09 10:40:57","10sec","opt_1","1.","N","fdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafda","2015-03-09 10:41:04","2015-03-09 10:40:58","2015-03-09 10:41:04","6sec",NA,NA,NA,NA,NA,NA,"fdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafda","fdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafda","fdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafda","fdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafda","fdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafda","fdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafda","fdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafda","fdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafda","fdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafda","fdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafdafda","2015-03-09 10:41:22","2015-03-09 10:41:05","2015-03-09 10:41:22","17sec",3,"3","2015-03-09 10:42:56","2015-03-09 10:42:47","2015-03-09 10:42:56","9sec","1","2","1","2","2","3","2","1","2","2","2","3","3","3","2015-03-09 10:59:32","2015-03-09 10:42:56","2015-03-09 10:59:32","996sec",3,"$20,000 to $29,999",3,"3",5,"Some college, but not currently enrolled","2015-03-09 10:59:54","2015-03-09 10:59:32","2015-03-09 10:59:54","22sec",1,"Male","1234",3,"March",4,"Divorced",14,"$200,000 or more",5,"Some college, but not currently enrolled",1,"Employed less than 3 years for the same company",2,"Architecture/engineering",3,"2",3,"Caucasian/White",4,"None","2015-03-09 11:00:41","2015-03-09 10:59:54","2015-03-09 11:00:41","47sec"
132343,552,2015-03-09 12:00:12,NA,"experiment_Mar15_20","Y","fdafdafdafdsa","2015-03-09 12:00:20","2015-03-09 12:00:14","2015-03-09 12:00:20","6sec",NA,NA,NA,"2015-03-09 12:00:20","2015-03-09 12:00:20","NAsec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132344,552,2015-03-09 12:10:50,NA,"experiment_Mar15_20","Y","A1RT9SQ9D9DLOV","2015-03-09 12:11:07","2015-03-09 12:10:51","2015-03-09 12:11:07","16sec",NA,NA,NA,"2015-03-09 12:11:08","2015-03-09 12:11:13","NAsec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132345,552,2015-03-09 12:10:53,NA,"experiment_Mar15_20",NA,NA,NA,"2015-03-09 12:10:55","2015-03-09 12:10:55","NAsec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132346,552,2015-03-09 12:11:02,"4","experiment_Mar15_20","Y","A17OINLIDZ0C14","2015-03-09 12:11:36","2015-03-09 12:11:03","2015-03-09 12:11:36","33sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","I have my needs taken care of, and I always put a little extra away every month in case of situations like this. It would impact my wants mostly. I wouldn't be able to afford some of the things that I want.","2015-03-09 12:36:14","2015-03-09 12:11:37","2015-03-09 12:36:14","1477sec","Y","I don't make that kind of money at my job, so I would have to borrow it from my parents and then pay it back. The financial burden wouldn't be that long-term, but probably at least a year. I would have to look for a second job to pay it back sooner.","2015-03-09 12:38:33","2015-03-09 12:36:14","2015-03-09 12:38:33","139sec","Y","I couldn't do this option. I refuse to have such a huge setback financially (at least in the immediate short-term). I would have to get a loan.","Y","N","My personal safety isn't worth the risk of having a car that doesn't work properly. I would have to eat the cost and find some way to make it up later.","2015-03-09 12:42:27","2015-03-09 12:38:33","2015-03-09 12:42:27","234sec","opt_2","2.","N","For items that are this expensive, the monthly installments are a good option and worth a little extra. Besides, I could always pay off the item early if I came up with the money.","2015-03-09 12:43:45","2015-03-09 12:42:28","2015-03-09 12:43:45","77sec",NA,NA,NA,NA,NA,NA,"There was one time that my family needed an emergency medical service, and we were helped with honesty and integrity.","Though extremely infrequently, we needed to take a public transport when we didn't have anyone to drive us. Fortunately, this experience was okay.","The bank that I use has staff that is super friendly and always willing to help. I trust their service.","I trust that local charity organizations use my donations wisely and they have a transparent system that lets benefactors make sure of that fact.","Many auto repair services overcharge for service, but a local mechanic shop we have here is great. They give us quality, honest service.","The local fair that comes into my town once a year can always be counted upon as both fun and provide a quality intellectual experience.","I trust restaurants to provide me with quality, clean food and the chains around here uphold that standard.","We have many quality teachers in this community. Even though I never personally used the school systems here, I'm confident that there is a lot of good influence in the schools. ","Our malls and shopping plazas that we have here are generally safe and riffraff-free. I feel comfortable hanging out in this establishment. ","The country sheriff's department keeps trouble out of the neighborhoods and they seem to do a really good job of it.","2015-03-09 13:01:43","2015-03-09 12:43:45","2015-03-09 13:01:43","1078sec",8,"8","2015-03-09 13:04:07","2015-03-09 13:03:58","2015-03-09 13:04:07","9sec","3","1","4","1","2","1","4","1","5","1","4","1","4","5","2015-03-09 13:04:49","2015-03-09 13:04:08","2015-03-09 13:04:49","41sec",12,"$125,000 to $149,999",3,"3",4,"High school diploma or the equivalent (for example: GED)","2015-03-09 13:05:07","2015-03-09 13:04:49","2015-03-09 13:05:07","18sec",2,"Female","1995",7,"July",1,"Never married",12,"$125,000 to $149,999",4,"High school diploma or the equivalent (for example: GED)",3,"Self-employed",3,"Arts/design/entertainment/music/media",1,"None",3,"Caucasian/White",4,"None","2015-03-09 13:06:03","2015-03-09 13:05:07","2015-03-09 13:06:03","56sec"
132347,552,2015-03-09 12:11:33,NA,"experiment_Mar15_20","Y","A3BUWQ5C39GRQC","2015-03-09 12:12:26","2015-03-09 12:11:34","2015-03-09 12:12:26","52sec","N","I do not have a lot of wiggle room. I would be cutting it real close when it comes to bills. I would not have any spending money.","2015-03-09 12:14:11","2015-03-09 12:12:26","2015-03-09 12:14:11","105sec",NA,NA,NA,"2015-03-09 12:14:12","2015-03-09 12:14:14","NAsec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132348,552,2015-03-09 12:11:59,"2","experiment_Mar15_20","Y","AGMSPB6VYCCFK","2015-03-09 12:12:19","2015-03-09 12:12:00","2015-03-09 12:12:19","19sec","Y","It would impact my ability to pay bills effectively and still be able to afford food and other necessities. I don't pay everything in my house, but we already struggle with what we have coming in.","2015-03-09 12:14:05","2015-03-09 12:12:19","2015-03-09 12:14:05","106sec","Y","I would go about it by taking it from my savings account, and working Mturk. It would be rough, but we would be able to handle $200. There wouldn't be too many long-term or long-lasting consequences, they would mostly be short term.","2015-03-09 12:15:24","2015-03-09 12:14:06","2015-03-09 12:15:24","78sec","N","I would ask if I could make fixed payments to the company in order to pay them back. I would probably pay some of it in cash at the time of the accidents. ","Y","N","We really can't afford to lose a car and it would be dangerous to simply forego the service. That would be a terrible idea because it might just end up costing more in the long run. ","2015-03-09 12:17:28","2015-03-09 12:15:24","2015-03-09 12:17:28","124sec","opt_2","2.","N","I think that it would be worth paying, because monthly payments would be easier to afford rather than paying all of it out of pocket right away, which would probably do more damage than good.","2015-03-09 12:18:33","2015-03-09 12:17:29","2015-03-09 12:18:33","64sec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I trust the bank to handle my money correctly and know what they are doing.","I trust my doctors to have the right knowledge and information to help me when I am sick.","I trust other people on the roads to do the right thing and drive safely and because of this have never been in a car accident. ","My trust in my family is justified every day when they help to keep me calm and level-headed.","I trust my friends to do the right thing and not betray me behind my back.","I had trusted my school to teach me the things that I needed to know so that when I got out into the real world I wasn't completely oblivious.","When I was in the hospital, I trusted the nurses and doctors to take care of me and provide with the right medications. ","When I go to a beauty consultant, I trust that they are giving me the right advice on what to use.","When I go to the hair dresser, I trust that they are going to give me what I want and not mess up my hair.","When I go to the gym I trust that the personal trainers there are leading me in the right direction.","2015-03-09 12:24:48","2015-03-09 12:18:33","2015-03-09 12:24:48","375sec",4,"4","2015-03-09 12:27:12","2015-03-09 12:27:03","2015-03-09 12:27:12","9sec","3","1","3","1","2","1","4","1","2","1","2","1","4","4","2015-03-09 12:28:07","2015-03-09 12:27:12","2015-03-09 12:28:07","55sec",6,"$50,000 to $59,999",6,"6",4,"High school diploma or the equivalent (for example: GED)","2015-03-09 12:28:23","2015-03-09 12:28:08","2015-03-09 12:28:23","15sec",2,"Female","1993",11,"November",1,"Never married",6,"$50,000 to $59,999",4,"High school diploma or the equivalent (for example: GED)",4,"Unemployed and looking for work",10,"Food services",1,"None",9,"Other",1,"Democrat","2015-03-09 12:29:24","2015-03-09 12:28:23","2015-03-09 12:29:24","61sec"
