node number,url,description
1,https://vlab.decisionsciences.columbia.edu/ls2/index.php/916854/lang-en,consent
2,https://vlab.decisionsciences.columbia.edu/ls2/index.php/597418/lang-en,Easy Scen 1
3,https://vlab.decisionsciences.columbia.edu/ls2/index.php/353562/lang-en,Easy Scen 2
4,https://vlab.decisionsciences.columbia.edu/ls2/index.php/835338/lang-en,Easy Scen 3
5,https://vlab.decisionsciences.columbia.edu/ls2/index.php/678612/lang-en,Easy Scen 4
6,https://vlab.decisionsciences.columbia.edu/ls2/index.php/873281/lang-en,Hard Scen 1
7,https://vlab.decisionsciences.columbia.edu/ls2/index.php/576721/lang-en,Hard Scen 2
8,https://vlab.decisionsciences.columbia.edu/ls2/index.php/196727/lang-en,Hard Scen 3
9,https://vlab.decisionsciences.columbia.edu/ls2/index.php/292542/lang-en,Hard Scen 4
10,https://vlab.decisionsciences.columbia.edu/ls2/index.php/799779/lang-en,Easy SC 1
11,https://vlab.decisionsciences.columbia.edu/ls2/index.php/233454/lang-en,Hard SC 1
12,https://vlab.decisionsciences.columbia.edu/deeptime/jon,DEEP
13,https://vlab.decisionsciences.columbia.edu/ls2/index.php/177542/lang-en,Subjective SES
14,https://vlab.decisionsciences.columbia.edu/ls2/index.php/488174/lang-en,Brazilian ST
15,https://vlab.decisionsciences.columbia.edu/ls2/index.php/134398/lang-en,Objective SES
16,https://vlab.decisionsciences.columbia.edu/ls2/index.php/458795/lang-en,Demographics
