"life","lower_step","second_step","third_step","fourth_step","fifth_step","sixth_step","seventh_step","eigth_step","nineth_step","tenth_step","no_answer"
"Completely dissatisfied",7,1.4,0.6,0.6,1.9,0,0.5,1.2,0,0,2.6
"2",3.6,2.4,2.2,2.4,1.5,0,0.2,0,3.3,0,0
"3",8.4,6.2,5.8,1.6,1.8,0.7,1.1,1.5,0,0,3.3
"4",13,15.9,6.3,4.1,2.9,2.9,1.6,1.5,0,3.4,6.1
"5",14.1,16.6,8,3.8,11.5,5.2,2.5,0.6,2.4,3.9,11.5
"6",2.5,2.8,12.3,8.1,9.8,6.9,5.3,1.7,4.3,0,8
"7",13,13.5,19.7,18.4,18.6,17.8,17.8,13.9,0,3.8,15.9
"8",15.6,33.3,26.8,28.4,25.8,39.8,34,35.1,22.1,17.9,21.2
"9",10.2,5.2,12.6,24,17.4,17,26.8,28.8,56.2,9.8,9.4
"Completely satisfied",12.5,2.7,4.8,8.4,8.6,9.7,10,14.9,11.8,61.2,9
"No answer; BH: Refused",0,0,0.9,0.3,0.3,0,0,0.9,0,0,12.9
"(N)",113,126,258,317,464,393,317,134,28,20,63
