"wave","happy","health","life","gTrust","finance","nTrust","income","edu","edu_c","country"
5,"2","3","8","1","4","2","3","8",NA,"Andorra"
5,"2","2","8","2","7","4","6","7",NA,"Andorra"
5,"2","2","8","2","9","2","10","9",NA,"Andorra"
5,"1","2","9","2","7","2","6","6",NA,"Andorra"
5,"2","1","8","2","8","2","8","7",NA,"Andorra"
5,"2","2","6","1","7","2","7","3",NA,"Andorra"
5,"1","1","8","1","8","3","8","3",NA,"Andorra"
5,"2","1","9","2","6","4","6","5",NA,"Andorra"
5,"1","2","8","2","4","2","5","5",NA,"Andorra"
5,"2","1","8","2","4","3","5","7",NA,"Andorra"
5,"1","1","8","2","2","3","6","8",NA,"Andorra"
5,"1","2","7","2","5","3","6","9",NA,"Andorra"
5,"2","4","3","2","1","3","2","3",NA,"Andorra"
5,"2","2","6","1","6","3","4","6",NA,"Andorra"
5,"2","1","9","2","8","4","7","9",NA,"Andorra"
5,"2","1","6","1","7","2","6","9",NA,"Andorra"
5,"2","1","7","1","5","2","4","3",NA,"Andorra"
5,"2","1","5","2","6","4","8","9",NA,"Andorra"
5,"2","1","8","1","6","2","6","5",NA,"Andorra"
5,"2","2","6","2","7","3","4","7",NA,"Andorra"
5,"2","2","7","1","6","3","3","7",NA,"Andorra"
5,"2","2","8","1","6","2","6","6",NA,"Andorra"
5,"2","1","8","1","6","2","6","9",NA,"Andorra"
5,"2","3","6","2","7","2","1","5",NA,"Andorra"
5,"2","2","8","2","7","2","6","7",NA,"Andorra"
5,"2","2","7","2","6","2","6","5",NA,"Andorra"
5,"2","1","8","2","7","2","6","7",NA,"Andorra"
5,"1","1","10","2","5","4","7","8",NA,"Andorra"
5,"1","1","8","2","6","4","3","6",NA,"Andorra"
5,"1","1","9","2","6","4","9","8",NA,"Andorra"
5,"2","1","5","2","7","2","9","9",NA,"Andorra"
5,"2","2","7","2","7","3","6","9",NA,"Andorra"
5,"1","2","9","2","1","4","6","6",NA,"Andorra"
5,"2","3","9","no_answer","8","1","4","5",NA,"Andorra"
5,"2","2","6","2","6","2","5","5",NA,"Andorra"
5,"1","1","8","2","6","3","6","7",NA,"Andorra"
5,"2","1","8","1","6","2","6","9",NA,"Andorra"
5,"2","2","8","2","5","2","4","3",NA,"Andorra"
5,"1","2","6","2","6","3","6","5",NA,"Andorra"
5,"1","2","8","2","8","4","6","3",NA,"Andorra"
5,"2","2","8","2","4","2","2","3",NA,"Andorra"
5,"1","3","4","2","5","2","5","2",NA,"Andorra"
5,"2","2","9","2","8","1","7","3",NA,"Andorra"
5,"3","1","5","2","6","3","no_answer","5",NA,"Andorra"
5,"1","1","8","2","8","3","8","3",NA,"Andorra"
5,"3","4","1","2","3","3","2","1",NA,"Andorra"
5,"2","1","8","2","6","2","7","9",NA,"Andorra"
5,"2","3","6","2","1","3","4","7",NA,"Andorra"
5,"2","2","8","2","8","2","6","2",NA,"Andorra"
5,"2","2","5","2","6","3","7","3",NA,"Andorra"
5,"2","2","6","2","7","3","7","5",NA,"Andorra"
5,"4","3","4","2","2","2","4","5",NA,"Andorra"
5,"2","2","6","2","5","3","6","8",NA,"Andorra"
5,"1","3","8","2","7","2","6","6",NA,"Andorra"
5,"1","2","7","2","6","2","7","9",NA,"Andorra"
5,"2","2","8","2","7","3","6","7",NA,"Andorra"
