Countrycode_UN,Name,Continent,Region,Imputed
108,Burundi,Africa,Eastern Africa,
174,Comoros,Africa,Eastern Africa,
262,Djibouti,Africa,Eastern Africa,
232,Eritrea,Africa,Eastern Africa,
231,Ethiopia,Africa,Eastern Africa,
404,Kenya,Africa,Eastern Africa,
450,Madagascar,Africa,Eastern Africa,
454,Malawi,Africa,Eastern Africa,
480,Mauritius,Africa,Eastern Africa,
175,Mayotte,Africa,Eastern Africa,
508,Mozambique,Africa,Eastern Africa,
638,Réunion,Africa,Eastern Africa,
646,Rwanda,Africa,Eastern Africa,
690,Seychelles,Africa,Eastern Africa,
706,Somalia,Africa,Eastern Africa,
728,South Sudan,Africa,Eastern Africa,
800,Uganda,Africa,Eastern Africa,
834,Tanzania,Africa,Eastern Africa,United States Virgin Islands
894,Zambia,Africa,Eastern Africa,
716,Zimbabwe,Africa,Eastern Africa,
24,Angola,Africa,Middle Africa,
120,Cameroon,Africa,Middle Africa,
140,Central African Republic,Africa,Middle Africa,
148,Chad,Africa,Middle Africa,
178,Congo,Africa,Middle Africa,
180,D.R. Congo,Africa,Middle Africa,Democratic Republic of the Congo
226,Eq.Guinea,Africa,Middle Africa,Equatorial Guinea
266,Gabon,Africa,Middle Africa,
678,Sao Tome and Principe,Africa,Middle Africa,
12,Algeria,Africa,Northern Africa,
818,Egypt,Africa,Northern Africa,
434,Libya,Africa,Northern Africa,
504,Morocco,Africa,Northern Africa,
729,Sudan,Africa,Northern Africa,
788,Tunisia,Africa,Northern Africa,
732,Western Sahara,Africa,Northern Africa,
72,Botswana,Africa,Southern Africa,
426,Lesotho,Africa,Southern Africa,
516,Namibia,Africa,Southern Africa,
710,South Africa,Africa,Southern Africa,
748,Swaziland,Africa,Southern Africa,
204,Benin,Africa,Western Africa,
854,Burkina Faso,Africa,Western Africa,
132,Cabo Verde,Africa,Western Africa,
384,Cote d'Ivoire,Africa,Western Africa,
270,Gambia,Africa,Western Africa,
288,Ghana,Africa,Western Africa,
324,Guinea,Africa,Western Africa,
624,Guinea-Bissau,Africa,Western Africa,
430,Liberia,Africa,Western Africa,
466,Mali,Africa,Western Africa,
478,Mauritania,Africa,Western Africa,
562,Niger,Africa,Western Africa,
566,Nigeria,Africa,Western Africa,
654,Saint Helena,Africa,Western Africa,
686,Senegal,Africa,Western Africa,
694,Sierra Leone,Africa,Western Africa,
768,Togo,Africa,Western Africa,
660,Anguilla,North America,Latin America and the Caribbean,
28,Antigua,North America,Latin America and the Caribbean,Antigua and Barbuda
533,Aruba,North America,Latin America and the Caribbean,
44,Bahamas,North America,Latin America and the Caribbean,
52,Barbados,North America,Latin America and the Caribbean,
535,"Bonaire, Sint Eustatius and Saba",North America,Latin America and the Caribbean,
92,British Virgin Islands,North America,Latin America and the Caribbean,
136,Cayman Islands,North America,Latin America and the Caribbean,
192,Cuba,North America,Latin America and the Caribbean,
531,Curaçao,North America,Latin America and the Caribbean,
212,Dominica,North America,Latin America and the Caribbean,
214,Dominican Rep.,North America,Latin America and the Caribbean,Dominican Republic
308,Grenada,North America,Latin America and the Caribbean,
312,Guadeloupe,North America,Latin America and the Caribbean,
332,Haiti,North America,Latin America and the Caribbean,
388,Jamaica,North America,Latin America and the Caribbean,
474,Martinique,North America,Latin America and the Caribbean,
500,Montserrat,North America,Latin America and the Caribbean,
